"Data Source: Future Scatter Tool in the Climate Toolbox (https://climatetoolbox.org/tool/future-scatter)"
Download Date: 03/01/2026

"Location (Rectangle): 40.5281N to 41.0956N, 104.8196W to 103.5420W (Pawnee National Grassland)"

X Variable:Dec-Jan-Feb Daily Minimum Temperature(degC) 
X Product:Future Climate Projections - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 

Y Variable:Mar-Apr-May Total Precipitation(mm) 
Y Product:Future Climate Projections - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 

Historical(HIST): 1971-2000 
SCEN Future Scenario: 2040-2069(Higher Emissions (RCP 8.5))
********************************************************
Model,X HIST,Y HIST, X SCEN,Y SCEN 
bcc-csm1-1,-9.76388888888889,116.7,-5.987777777777777,130.5
bcc-csm1-1-m,-9.418333333333333,118.4,-6.174444444444445,125.2
BNU-ESM,-9.335555555555556,123.6,-6.586111111111112,137.5
CanESM2,-9.502777777777778,123,-5.149444444444444,127.3
CCSM4,-9.37277777777778,120.4,-6.733333333333334,132.2
CNRM-CM5,-9.57388888888889,120.4,-5.372222222222224,130
CSIRO-Mk3-6-0,-10.034444444444443,109.3,-7.2555555555555555,118.9
GFDL-ESM2M,-9.62388888888889,123,-7.663333333333333,140.3
GFDL-ESM2G,-9.54611111111111,115,-7.109999999999999,118.6
HadGEM2-CC365,-9.771666666666667,110.7,-5.253333333333334,151.7
HadGEM2-ES365,-9.746111111111112,117.4,-4.8661111111111115,123
inmcm4,-9.399444444444445,126.5,-7.749444444444445,131.6
IPSL-CM5A-LR,-8.915,110.8,-6.496666666666666,115.9
IPSL-CM5A-MR,-9.657777777777778,122.7,-5.9511111111111115,104.2
IPSL-CM5B-LR,-9.743333333333332,118.2,-6.497222222222223,137.5
MIROC5,-9.674444444444445,114.5,-6.19888888888889,113.8
MIROC-ESM,-9.310555555555556,121.7,-5.222777777777777,169
MIROC-ESM-CHEM,-9.463888888888889,120,-4.96,156
MRI-CGCM3,-9.331666666666667,117.9,-7.714444444444443,136.6
NorESM1-M,-9.552777777777777,122.4,-6.807777777777779,132.7
20CMIP5ModelMean,-9.536666666666667,118.6,-6.287222222222223,131.6
