"Data Source: Future Scatter Tool in the Climate Toolbox (https://climatetoolbox.org/tool/future-scatter)"
Download Date: 03/01/2026

"Location (Rectangle): 43.0947N to 44.9139N, 105.8002W to 104.2177W (Thunder Basin National Grassland)"

X Variable:Dec-Jan-Feb Daily Minimum Temperature(degC) 
X Product:Future Climate Projections - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 

Y Variable:Mar-Apr-May Total Precipitation(mm) 
Y Product:Future Climate Projections - MACAv2-METDATA(https://climate.northwestknowledge.net/MACA/) 

Historical(HIST): 1971-2000 
SCEN Future Scenario: 2040-2069(Higher Emissions (RCP 8.5))
********************************************************
Model,X HIST,Y HIST, X SCEN,Y SCEN 
bcc-csm1-1,-10.857222222222223,125.8,-6.602222222222222,159.9
bcc-csm1-1-m,-10.687777777777777,133.6,-7.518888888888887,144.9
BNU-ESM,-10.467777777777776,142.1,-7.463888888888889,151.2
CanESM2,-10.683333333333334,133.6,-6.427222222222222,160.1
CCSM4,-10.354999999999999,137.1,-7.576666666666668,136.2
CNRM-CM5,-10.799444444444443,134,-6.221666666666668,163.4
CSIRO-Mk3-6-0,-11.246666666666666,130.6,-8.071666666666665,135.5
GFDL-ESM2M,-10.683333333333334,133,-8.708888888888888,159.2
GFDL-ESM2G,-10.936111111111112,138.3,-7.785000000000001,155.7
HadGEM2-CC365,-10.823333333333332,126.2,-5.359999999999999,199.6
HadGEM2-ES365,-10.830555555555556,139.9,-4.848333333333334,185.6
inmcm4,-10.427222222222222,139.1,-8.705555555555556,150.6
IPSL-CM5A-LR,-10.166666666666666,130.3,-7.7238888888888875,145.1
IPSL-CM5A-MR,-10.966111111111111,134.7,-6.694999999999999,161.2
IPSL-CM5B-LR,-11.052777777777777,129.8,-7.255,161.5
MIROC5,-11.036666666666667,140.2,-7.266111111111112,148.1
MIROC-ESM,-10.412222222222223,129.6,-5.542222222222222,194.3
MIROC-ESM-CHEM,-10.557222222222222,134.7,-5.395555555555556,198.2
MRI-CGCM3,-10.374444444444444,128.9,-8.98611111111111,144.7
NorESM1-M,-10.869444444444444,132.3,-7.941666666666667,152.9
20CMIP5ModelMean,-10.711666666666666,133.7,-7.105,160.4
